板块,平均价格（元/月）
CBD,17303.401534526853
七里庄,7506.988764044944
万寿路,4766.666666666667
万柳,32920.64705882353
万源,4008.805970149254
万达,4295.088495575221
三元桥,8781.3213610586
三里屯,11539.82191780822
上地,9127.181818181818
上岸地铁,5554.207874015748
世纪城,27169.767441860466
东关,4585.821808510638
东单,18827.882352941175
东四,11585.506329113925
东坝,6618.413461538462
东城,6666.333333333333
东大桥,17308.318840579712
东直门,13191.719033232628
东花市,9189.855421686747
中关村,19738.8
中央别墅区,22174.550802139038
丰台,6022.777777777777
丰台其它,7428.633165829146
临河里,4222.623873873874
丽泽,12952.67857142857
义和庄,3983.678756476684
乔庄,3966.255319148936
九棵树(家乐福),5346.258845437616
五棵松,10044.380952380952
五道口,33921.126760563384
五里坨,3370.240506329114
五里店,4157.661764705882
亚运村,9288.77855887522
亚运村小营,11380.760814249365
交道口,8436.309523809523
亦庄,8475.97877501516
亦庄开发区,5426.666666666667
亦庄河西区,9282.583423035521
亮马桥,7935.803418803419
健翔桥,7901.239436619719
八角,4577.875264270613
公主坟,16407.436619718308
六里桥,7328.0
六铺炕,7968.270491803279
军博,12678.368421052632
农展馆,12133.994708994709
冯村,6424.483568075118
刘家窑,6651.896551724138
前门,6979.047619047619
劲松,5816.120567375887
北七家,6492.435211267606
北京南站,5850.526315789473
北关,5098.538205980067
北大地,4383.333333333333
北太平庄,6500.0
北工大,5143.122448979592
北苑,7084.065906210393
十八里店,4866.666666666667
十里堡,6113.994382022472
十里堡镇,2003.3333333333333
十里河,10872.558823529413
华威桥,9686.606425702812
南中轴机场商务区,3002.7974137931033
南口,2007.5
南沙滩,7462.126272912424
南邵,5534.809523809524
卢沟桥,3928.3793103448274
双井,9761.13475177305
双桥,5384.2972972972975
双榆树,12120.0
古北口镇,1215.1182795698924
古城,5580.86095505618
右安门内,8081.880597014925
右安门外,10797.5
后沙峪,7467.097959183673
和义,4020.32183908046
和平里,7331.046908315565
四季青,33727.27272727273
四惠,7677.1827411167515
回龙观,6279.031710914454
团结湖,6857.272
国展,6792.735682819383
地安门,17657.5
垡头,5258.297872340426
城关,1767.831265508685
城子,3888.9748201438847
大兴,3740.0
大兴其它,3088.121212121212
大兴新机场,4232.705882352941
大兴新机场洋房别墅区,3111.8898305084745
大兴机场空港,1536.537704918033
大山子,37595.62790697674
大峪,4207.235741444867
大望路,10032.71493902439
大红门,6665.267175572519
天坛,6929.268292682927
天宁寺,6886.0495867768595
天宫院,4385.336708860759
天宫院南,5078.583333333333
天竺,15419.156626506025
天通苑,6861.902608695652
太平桥,6539.260273972603
太阳宫,22352.1484375
奥林匹克公园,11538.470588235294
学院路,26688.88888888889
安宁庄,4726.666666666667
安定门,8601.381188118812
安贞,6860.90625
宋家庄,6569.11320754717
官园,15414.11403508772
定慧寺,14461.32075471698
定福庄,5014.123076923077
宣武门,17598.830188679247
密云镇,2593.4333333333334
小汤山,12047.955555555556
小红门,5985.492753623188
小西天,4934.130434782609
岳各庄,10270.480263157895
崇文门,8756.077639751553
工体,10850.885185185185
左安门,7224.8105263157895
巨各庄镇,1100.0
常营,5692.200631911533
平谷其它,2240.0
广安门,7019.120092378753
广渠门,7521.239506172839
延庆其它,1940.0
建国门内,14917.5
建国门外,10087.138888888889
德胜门,8933.2
怀柔,2932.2932061978545
怀柔其它,1509.090909090909
惠新西街,7004.134657836645
成寿寺,6319.533333333334
房山,3000.0
房山其它,3465.066844919786
新宫,5814.333333333333
新街口,8782.222222222223
方庄,7525.5397923875435
旧宫,5664.096774193548
昌平,4462.5
昌平其它,6926.847290640394
月坛,9831.266666666666
望京,9591.736690647482
朝阳,7493.385542168675
朝阳公园,24689.618320610687
朝阳其它,4575.95652173913
朝阳门内,9546.540983606557
朝阳门外,9361.221238938053
朝青,10914.018433179723
