板块,平均价格（元/月）
万博,6017.266255989049
万胜围,8764.47869955157
万顷沙,2385.940170940171
三元里,2383.4821428571427
东圃,4508.196779964222
东塱,4248.904109589041
东山口,5622.760368663595
东川路,4197.429840142096
东平,6508.928571428572
东平横岗南路,1150.0
东怡新区,4021.9574468085107
东晓南,4548.705792682927
东晓路,4069.5975609756097
东涌,2705.3333333333335
东湖,4738.506493506494
东风东,6191.656084656084
东风西,3531.261261261261
中大,4120.705202312139
中山八,4284.281690140845
中新镇,2105.7845468053492
二沙岛,31600.0
五山,5283.339552238806
五羊新城,6221.582484725051
亚运城,3541.6860282574567
亚运大道中,2302.0526315789475
京溪,4396.264084507042
人和,2848.7622950819673
人民北,5393.111111111111
人民路,5171.985294117647
会江,3866.6447368421054
体育中心,4999.4905437352245
元下田,3311.8939393939395
公园前,4078.1028806584363
农讲所,4803.408219178083
凤凰城,2738.517948717949
前进路,3417.298412698413
北京路,6710.431746031746
北兴镇,2793.087912087912
华南新城,4680.718954248366
华南碧桂园,8511.639344262296
华景新城,4750.639477977162
南岗,2536.8291069459756
南岸路,4469.045801526718
南村,5236.063829787234
南沙区府,3187.8
南沙港,3084.0807537012115
南沙湾,2352.1370143149284
南洲,5257.333333333333
南浦,4345.695906432748
南湖,10772.577049180329
厦滘,7679.052757793765
同和,4081.475
同德围,2873.0939226519336
同福,3702.6022304832713
员村,4188.96197327852
周门,3460.204081632653
和平西,2947.6015037593984
嘉禾望岗,5686.620437956204
国际创新城,3700.919540229885
坑口,3450.793388429752
增城区府,3175.8952380952383
增城碧桂园,1490.1666666666667
夏园,2710.878260869565
夏茅,3792.764150943396
大坦沙,4484.239669421488
大学城,6546.9047619047615
大岗镇,2001.7391304347825
大沙地,3431.328908554572
大石,3798.0165562913908
大金钟路,3096.4935064935066
天河,4636.0526315789475
天河公园,5341.726293103448
天河南,5051.911253430924
天河客运站,3681.8867924528304
天润路,5342.130620985011
太和,3039.830985915493
太平镇,1958.400544959128
官洲,4412.741935483871
宝岗,3302.3449367088606
客村,4416.377049180328
富豪山庄,4194.366071428572
小北,4346.099415204679
小楼镇,8000.0
山前大道,2760.0
岑村,4916.271186440678
工业大道中,3680.3985374771482
工业大道北,4467.606361829025
工业大道南,4402.518763796909
市桥,2652.3202293202294
市桥东,4459.465909090909
市桥北,3088.511221945137
广州南站,3026.891891891892
广州大道南,4852.520295202952
广氮,4435.795
广钢新城,4658.6031496063
建设路,4599.1814432989695
开发东区,2547.243315508021
开发西区,2713.0434782608695
文冲,3579.9319470699434
