板块,平均价格（元/月）
七宝,6655.903301886792
万体馆,6941.751552795031
万祥镇,2146.153846153846
万里,8464.969230769231
三林,5895.645833333333
上大,5211.786666666667
上海南站,4903.443298969072
不夜城,9510.893203883496
世博,5203.130588235294
世博滨江,13067.024390243903
东外滩,9329.962103634958
中原,4817.327137546468
中山公园,8219.805507745266
中远两湾城,10059.8
丰庄,4959.065217391304
临平路,11935.1541218638
临港新城,3587.679069767442
九亭,6934.5181918412345
书院镇,2703.5789473684213
五角场,6300.555240793201
五里桥,8595.8125
人民广场,9095.173469387755
仙霞,6966.471264367816
佘山,7739.378787878788
光新,7010.459330143541
共富,4426.181818181818
共康,5225.668789808918
凉城,5668.678200692041
北外滩,10244.78417266187
北新泾,6267.353711790393
北蔡,6633.327868852459
华东理工,4764.606299212598
华亭,1800.0
华新,4737.6875
华泾,7043.341666666666
华漕,8829.668674698794
南京东路,10385.28125
南京西路,11718.51052631579
南桥,2634.138698630137
南码头,5250.611428571428
南翔,5668.364628820961
古北,17076.892405063292
古美,7998.630769230769
合庆,3822.1666666666665
吴泾,4870.733333333334
周家嘴路,6327.5
周浦,5062.197255574614
唐镇,6854.809917355372
嘉定新城,4326.654462242563
嘉定老城,2844.3141762452105
四团,3028.5714285714284
四川北路,8157.057971014493
塘桥,8527.115546218487
夏阳,5661.318181818182
外冈,3184.4418604651164
外高桥,4962.701388888889
大华,6638.237931034483
大场镇,4491.905660377359
大宁,6834.526315789473
天山,11717.803680981595
奉贤金汇,2721.090909090909
安亭,3694.1044487427466
宝山,3060.0
宣桥,2882.7727272727275
小昆山,5083.1578947368425
崇明其它,1500.0
崇明新城,1911.4933333333333
川沙,4338.947272727272
庄行,2936.7368421052633
康健,6392.291411042945
康桥,5705.543333333333
建国西路,14819.71875
张庙,4083.334928229665
张江,7723.188065099457
彭浦,4293.472677595629
徐家汇,9557.557422969188
徐汇,10631.111111111111
徐汇滨江,24961.690476190477
徐泾,15344.422348484848
徐行,4140.428571428572
御桥,7396.497382198952
惠南,2756.1240105540896
打浦桥,12192.19209039548
控江路,4896.781065088758
斜土路,7001.803468208092
新华路,9762.157894736842
新场,3661.6721311475408
新天地,17269.25
新成路,2878.8064516129034
新桥,5940.424657534247
新江湾城,17510.353448275862
春申,6801.061349693252
普陀,5760.0
曲阳,5065.749063670412
曹家渡,9071.030640668523
曹杨,5162.3625
曹路,4180.521241830065
月浦,3034.16
朱家角,8011.616541353384
杨东,13938.972677595628
杨思前滩,8951.357781753131
杨浦,4656.125
杨行,5080.258064516129
松江大学城,4936.009157509157
松江新城,5198.582840236686
松江老城,3201.3485714285716
柘林,2240.0
桃浦,5151.575
梅园,8081.83455882353
梅陇,6031.762557077625
植物园,6307.290909090909
武宁,8628.74031007752
永和,5048.8387096774195
江宁路,11373.04347826087
江桥,5013.599640933573
江湾镇,5462.088235294118
泗泾,4787.53125
泥城镇,2367.058201058201
洋泾,6797.872068230277
洞泾,5269.685185185185
浦东,5719.9375
浦江,5122.705111402359
海湾,3544.5777777777776
淞南,5057.775956284153
淞宝,3712.478723404255
淮海中路,10994.46218487395
源深,9538.376623376624
漕河泾,8455.641025641025
潍坊,5741.8490990990995
甘泉宜川,4462.6900269541775
田林,7941.75
白鹤,3065.36
盈浦,6584.420634920635
真光,5547.286956521739
真如,7233.826714801444
碧云,10713.110294117647
祝桥,5576.923076923077
罗店,4306.620805369127
罗泾,3421.4285714285716
老港镇,3000.0
老西门,16088.471698113208
老闵行,3813.864253393665
联洋,17249.67032967033
航华,5580.594339622641
航头,4218.610256410257
花木,10623.33789954338
苏河湾,9365.983870967742
莘庄北广场,5165.858299595142
莘庄南广场,6672.0
莘闵别墅,7900.186301369863
菊园新区,3417.6094276094277
董家渡,12279.666666666666
蓬莱公园,9628.615763546799
虹口,5663.0
虹桥,9255.155555555555
衡山路,11309.086294416244
西渡,3174.6417112299464
西藏北路,8922.364055299538
西郊,10990.310160427807
豫园,20017.85714285714
赵巷,11791.903614457831
车墩,2428.9473684210525
通河,4234.586206896552
重固,5410.0
金山新城,2170.5769944341373
金杨,5208.65786163522
金桥,5163.37750385208
金汇,9673.372972972973
金泽,7445.0
金虹桥,14583.6
镇宁路,7017.439842209073
长兴岛,2515.3846153846152
长宁,6323.142857142857
长寿路,9362.008230452675
长征,10302.05421686747
长桥,5347.588235294118
长风,7370.329896907217
闵浦,3723.6133720930234
闵行,4338.333333333333
闸北公园,5184.33628318584
阳城,5800.718518518518
陆家嘴,13007.790566037736
陈家镇,2917.6288659793813
静安,9975.0
静安寺,13729.552795031055
静安新城,6618.323529411765
鞍山,5164.085714285714
顾村,4300.291605301914
颛桥,6130.6733466933865
香花桥,3995.5555555555557
马桥,13900.3
马陆,4170.409090909091
高东,3806.896551724138
高境,5331.969543147208
高行,5848.756923076923
鲁迅公园,8205.148288973383
黄兴公园,5003.389645776567
黄浦滨江,24086.74683544304
龙华,10927.505681818182
龙柏,6775.346774193548
