板块,平均价格（元/月）
万象城,9591.531531531531
上下沙,8915.834710743802
上塘,8325.162790697674
上步,5782.538461538462
东门,6075.428571428572
丹竹头,3934.011976047904
光明,4825.480947476828
八卦岭,3998.0793650793653
公明,3527.8861788617887
前海,9812.65737704918
华侨城,19922.465034965036
华强北,6977.696787148594
华强南,7681.386861313868
南头,6219.272592592592
南山中心,6713.633936261843
南山区,7668.695652173913
后海,7830.1875
园岭,6395.175438596491
地王,7849.808678500986
坂田,6356.9561343385885
坪地,3457.0552147239264
坪山,3587.383644016837
大学城,9289.350140056022
大运新城,3961.9192439862545
大鹏半岛,4010.5128205128203
宝安中心,10658.837662337663
宝安区,7049.268292682927
布吉关,4987.586319218241
布吉南岭,5147.008403361345
布吉大芬,3929.415966386555
布吉水径,4738.62
布吉石芽岭,7486.739130434783
布吉街,4556.19881305638
布心,5310.128939828081
平湖,5174.8074074074075
新安,6326.093851132686
新洲,7525.831460674157
新秀,5340.165137614679
春风路,6341.948717948718
景田,7772.033840947546
曦城,20093.61842105263
松岗,4133.543859649123
桃源居,5456.741573033708
梅林,6126.7350917431195
梅林关,10320.564814814816
梅沙,8568.57627118644
横岗,4913.827242524917
民治,8087.926910299003
沙井,3930.5764192139736
沙头角,6529.879951980793
沙尾,11375.289256198346
洪湖,4531.508620689655
深圳湾,30624.71978021978
清水河,4787.169139465876
白石洲,6565.734693877551
百仕达,5816.441666666667
百花,8857.135135135135
皇岗,7432.119673617407
盐田港,4882.542410714285
石厦,7542.308115543328
石岩,4804.0
碧海,5965.6166134185305
福永,4335.50505050505
福田中心,12938.214941022281
福田保税区,6823.155080213904
福田区,4979.054054054054
科技园,9789.606890459363
竹子林,10606.052752293577
笋岗,5716.317269076305
红山,6887.057722308892
红树湾,21240.044843049327
罗湖区,1412.0
罗湖口岸,5507.142857142857
翠竹,5446.6510989010985
翻身,5035.099697885196
航城,4950.605633802817
莲塘,6861.380846325167
莲花,10547.604774535808
蛇口,13440.889587073609
螺岭,4870.182156133829
西丽,6375.537444933921
西乡,4742.741798941799
观澜,9595.578606158833
赤尾,5868.191489361702
车公庙,7497.238670694864
银湖,9572.530864197532
香梅北,7008.834586466165
香蜜湖,21913.926335174954
黄木岗,12005.882352941177
黄贝岭,6883.359375
龙华中心,5540.812585499316
龙华区,3236.8
龙华新区,5594.0
龙岗中心城,3907.295652173913
龙岗区,1796.764705882353
龙岗双龙,4392.786363636364
龙岗宝荷,4543.9715025906735
