板块,平均价格（元/月）
丁字沽街,1768.9679075738127
万兴街,2594.6434262948205
万新村,1537.910514541387
万新街,1828.9504057709648
三条石,2842.9736842105262
上杭路,2500.924285714286
下朱庄,1215.5583756345177
下瓦房,2388.218658892128
东丽,2257.1428571428573
东丽湖,1561.7923875432525
东海街,1850.828729281768
东疆港,2329.031914893617
东蒲洼街,1225.0490566037736
中信广场,1201.3937007874015
中北镇,2331.6110757479314
中塘镇,966.6666666666666
中山门街,1875.3830227743272
中新生态城,2772.0422314911366
中部新城,2451.3698630136987
二号桥街,1799.841155234657
于家堡,3013.137566137566
于桥水库,1293.190082644628
京津新城,859.1836065573771
人民公园,1231.5822784810127
体育中心,1631.2713864306784
体育中心街,3316.7120582120583
体育馆街,3103.7034482758622
佛罗伦萨,1783.6172248803828
侯台,2421.251497005988
保利金街,1970.4840989399293
光复道,2993.9142091152817
八里台,1459.329373650108
兴南街,2644.9352517985612
军粮城,1137.961373390558
劝业场,2973.3418903150523
北仓镇,1494.8815165876777
北城路,853.969512195122
北塘街,2883.4408866995072
北辰,916.6666666666666
北闸口,1167.0212765957447
华明镇,2155.1569452796152
华苑,3146.2848484848487
南三路,961.7647058823529
南关大街,923.1652892561983
南市,3428.421150278293
南开,1745.0
南湖,1052.5305389221558
南营门街,3202.9529914529912
友谊路,2121.261421319797
双口镇,2028.125
双林,1947.0796019900497
双桥河,1375.0
双港,2323.6063926940637
双环邨,1664.6841491841492
双街,1383.4139737991266
古林街,1880.3666666666666
向阳楼,1998.245696400626
向阳路,1877.9921875
和平,2122.1739130434785
和苑,1531.2096774193549
咸水沽,1588.0882601351352
咸阳北路,1577.1362799263352
响螺湾,3097.224598930481
唐家口,2190.9545454545455
嘉陵道街,2041.0089552238805
团泊东,1235.371610845295
团泊西,1666.158904109589
塘沽街,2701.552380952381
大寺,2278.3130792996913
大沽街,831.25
大港街,1400.3636363636363
大王古镇,2360.0
大王庄,2741.6496710526317
大直沽,2156.18064516129
大胡同,2278.953125
大营门,2461.798761609907
天塔街,2124.053040103493
天津港,2120.0
天穆镇,1983.8722280887011
太阳城,2671.8885017421603
学府街,2630.935922330097
宁园,2270.7226277372265
宜兴埠,2062.918367346939
宝坻其他东,660.0
宝坻其他西,975.0
富民路,2435.389961389961
寨上街,826.1372093023256
小淀镇,1631.299727520436
小白楼,3766.38275862069
小站镇,1307.142857142857
尖山,2674.4148727984343
常州道,1861.680345572354
广开街,2767.3317972350233
建昌道,1790.7083825265643
建设路,888.4615384615385
开发区,3514.6977111286506
张家窝,2251.9412393162393
张贵庄,1633.5657894736842
怡购,1139.0985915492959
挂甲寺,2349.448869752422
新兴街,2731.4518072289156
新北街,2619.0131004366813
新城镇,1018.8679245283018
新开河,2164.5975274725274
新村街,2214.7342995169083
新梅江,3169.1272727272726
新河街,2245.5885416666665
新港街,2455.6377952755906
新湾,1459.394495412844
新立街,2152.2103386809267
春华街,2811.684582743989
月牙河,1455.1986301369864
望海楼,2382.5454545454545
李七庄,2523.7210084033613
杨村,1501.1576313594662
杨柳青,1651.7888563049853
杭州道,2586.0738362760835
果园新村,1365.6774193548388
柳林街,1860.8573185731857
桃园街,2239.650909090909
梅厂,746.6
梅江,3683.8
武清其它,1389.8952802359881
水上公园街,3358.575569358178
汉沽街,770.5665322580645
江都路,1823.0494296577947
河东,1350.0
河北,1130.0
河西,1931.6666666666667
河西务,1285.0
泗村,1367.6470588235295
津南,870.0
津围线西,1000.0
津门湖,3483.261501210654
海河教育园区,2170.7660626029656
海泰高新区,2913.7203125
海滨,993.2826086956521
海滨街,826.5909090909091
渤海石油,2384.2105263157896
滨海新区,1061.904761904762
潮阳大道,1109.4470588235295
火车站,992.9378238341969
王串场,1873.0451612903225
王顶堤,2587.7428571428572
瑞景居住区,2292.6577017114914
盘山风景区,2078.8172043010754
空港经济区,2770.828293736501
精武镇,2452.478260869565
红桥,2512.8571428571427
翡翠湾,709.9699248120301
胡家园,1656.7857142857142
芥园道,3333.089285714286
茶淀街,764.9634551495017
葛沽镇,1212.0217391304348
蓟州城区,1145.657627118644
西于庄,2065.210622710623
西堤头,1433.6363636363637
西沽街,2017.6977547495683
西营门,1491.0463917525774
西青,842.9411764705883
越秀路,2184.8393194706996
辛口镇,1196.4285714285713
辛庄,2005.0474406991261
邵公庄,1914.0900621118012
金钟街,2105.138263665595
钢管公司,1049.8775510204082
铁东路,1943.144366197183
铃铛阁,2388.865329512894
长虹街,2083.63
陈塘庄,3012.1192504258943
集贤里,1236.868263473054
静海,1294.1176470588234
静海其他,2301.2195121951218
静湖,1026.8424336973478
马场街,2309.9972067039107
马家店,792.2699386503067
高村,1817.9082892416225
鸿顺里街,2341.155518394649
黄庄,1337.8032786885246
鼓楼街,3786.5283757338552
